# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
10177	huber1992/ika/ABAJO_DOWN	ABAJO_DOWN	awaréʔki̵	ika	a w a r é ʔ k i̵
10580	huber1992/catío/ABAJO_DOWN	ABAJO_DOWN	eɗá	catío	e ɗ á
10986	huber1992/cubeo/ABAJO_DOWN	ABAJO_DOWN	kãʧĩ́dõ	cubeo	k ã ʧ ĩ́ d õ
10987	huber1992/cubeo/ABAJO_DOWN	ABAJO_DOWN	jebá	cubeo	j e b á
11539	huber1992/muinane/ABAJO_DOWN	ABAJO_DOWN	gíino	muinane	g í i n o
11540	huber1992/muinane/ABAJO_DOWN	ABAJO_DOWN	báari	muinane	b á a r i
11948	huber1992/desano/ABAJO_DOWN	ABAJO_DOWN	doká	desano	d o k á
12310	huber1992/inga/ABAJO_DOWN	ABAJO_DOWN	úra	inga	ú r a
12676	huber1992/dí̵mi̵na/ABAJO_DOWN	ABAJO_DOWN	waʒina	dí̵mi̵na	w a ʒ i n a
13038	huber1992/embera Darién/ABAJO_DOWN	ABAJO_DOWN	eɗá	embera Darién	e ɗ á
13366	huber1992/nukak/ABAJO_DOWN	ABAJO_DOWN	dei⁴	nukak	d e i ⁴
13675	huber1992/jupda/ABAJO_DOWN	ABAJO_DOWN	tuh	jupda	t u h
13676	huber1992/jupda/ABAJO_DOWN	ABAJO_DOWN	hij	jupda	h i j
14038	huber1992/jitnu/ABAJO_DOWN	ABAJO_DOWN	berré	jitnu	b e r r é
14039	huber1992/jitnu/ABAJO_DOWN	ABAJO_DOWN	pentó berré	jitnu	p e n t ó # b e r r é
14452	huber1992/koreguaje/ABAJO_DOWN	ABAJO_DOWN	βi̵ʔeβi	koreguaje	β i̵ ʔ e β i
14875	huber1992/páez/ABAJO_DOWN	ABAJO_DOWN	taʃu	páez	t a ʃ u
15304	huber1992/kakua/ABAJO_DOWN	ABAJO_DOWN	dõd⁴ bo³	kakua	d õ d ⁴ # b o ³
15305	huber1992/kakua/ABAJO_DOWN	ABAJO_DOWN	dei⁴	kakua	d e i ⁴
15767	huber1992/witoto mi̵ni̵ca/ABAJO_DOWN	ABAJO_DOWN	ána	witoto mi̵ni̵ca	á n a
16158	huber1992/kogui/ABAJO_DOWN	ABAJO_DOWN	mitábəldi	kogui	m i t á b ə l d i
16159	huber1992/kogui/ABAJO_DOWN	ABAJO_DOWN	guéni	kogui	g u é n i
16592	huber1992/witoto ni̵pode/ABAJO_DOWN	ABAJO_DOWN	ána	witoto ni̵pode	á n a
17054	huber1992/miraña/ABAJO_DOWN	ABAJO_DOWN	paá	miraña	p a á
17448	huber1992/piratapuyo/ABAJO_DOWN	ABAJO_DOWN	doka	piratapuyo	d o k a
17861	huber1992/playero/ABAJO_DOWN	ABAJO_DOWN	irábéreka	playero	i r á b é r e k a
18290	huber1992/witoto murui/ABAJO_DOWN	ABAJO_DOWN	ana	witoto murui	a n a
18777	huber1992/ocaina/ABAJO_DOWN	ABAJO_DOWN	ãã	ocaina	ã ã
18778	huber1992/ocaina/ABAJO_DOWN	ABAJO_DOWN	ããn̥a	ocaina	ã ã n̥ a
18779	huber1992/ocaina/ABAJO_DOWN	ABAJO_DOWN	ɲooɲi	ocaina	ɲ o o ɲ i
19075	huber1992/orejón/ABAJO_DOWN	ABAJO_DOWN	uibi̵	orejón	u i b i̵
19514	huber1992/piapoco/ABAJO_DOWN	ABAJO_DOWN	káaliukulé	piapoco	k á a l i u k u l é
19871	huber1992/puinave/ABAJO_DOWN	ABAJO_DOWN	mõnõ ha	puinave	m õ n õ # h a
20223	huber1992/resígaro/ABAJO_DOWN	ABAJO_DOWN	hipóo	resígaro	h i p ó o
20583	huber1992/sáliba/ABAJO_DOWN	ABAJO_DOWN	ubena	sáliba	u b e n a
20937	huber1992/siona/ABAJO_DOWN	ABAJO_DOWN	jihakʷa	siona	j i h a k ʷ a
21322	huber1992/siriano/ABAJO_DOWN	ABAJO_DOWN	doká	siriano	d o k á
21693	huber1992/tatuyo/ABAJO_DOWN	ABAJO_DOWN	káẽ́õrõ	tatuyo	k á ẽ́ õ r õ
21694	huber1992/tatuyo/ABAJO_DOWN	ABAJO_DOWN	káróka	tatuyo	k á r ó k a
22080	huber1992/tucano/ABAJO_DOWN	ABAJO_DOWN	doká	tucano	d o k á
22476	huber1992/embera Tadó/ABAJO_DOWN	ABAJO_DOWN	eɗá	embera Tadó	e ɗ á
22873	huber1992/tanimuca/ABAJO_DOWN	ABAJO_DOWN	roka	tanimuca	r o k a
